factor,target,group,mean,median,std,count,win_rate,monotonic,spread
event_seq,hold_ret,Q3,0.01523057129351691,-0.02105263157894727,0.13625723668516496,19533,0.4008600829365689,False,0.02089669816235962
event_seq,hold_ret,Q4,0.015934707676455228,-0.02059925093632967,0.14671241119003625,23441,0.3968687342690158,False,0.02089669816235962
event_seq,hold_ret,Q5,0.01222294818911569,-0.02434346626824506,0.16207861846146943,18770,0.36499733617474694,False,0.02089669816235962
event_seq,ret_5,Q1,-0.005508170930976873,-0.00697151017920855,0.06677829040840182,24900,0.42771084337349397,False,0.021732742676694762
event_seq,ret_5,Q2,-0.0011322981648655439,-0.0046851788367044,0.08162831678500429,19769,0.4498457180434013,False,0.021732742676694762
event_seq,ret_5,Q3,0.01622457174571789,0.0015649452269168,0.10258441514634702,19535,0.506526746864602,False,0.021732742676694762
event_seq,ret_5,Q4,0.010565601536652586,-0.0020629190304279,0.0970580990183548,23443,0.4782664334769441,False,0.021732742676694762
event_seq,ret_5,Q5,0.005590191048947322,-0.0035180299032541,0.09219940467042732,18793,0.4675677113818975,False,0.021732742676694762
event_seq,ret_10,Q1,0.0029373553075581803,0.0004522372811204,0.08950345202111111,24900,0.5007630522088353,False,0.02254254014284009
event_seq,ret_10,Q2,-0.004706599250890808,-0.0074573078510486,0.10588630171546146,19768,0.44652974504249293,False,0.02254254014284009
event_seq,ret_10,Q3,0.015690591846375536,0.0033632286995515,0.1266386561029796,19531,0.5150273923506221,False,0.02254254014284009
event_seq,ret_10,Q4,0.017835940891949283,0.0021074815595363,0.1312159982655085,23417,0.5081351155143699,False,0.02254254014284009
event_seq,ret_10,Q5,0.01106529762776445,-0.0022189652597353997,0.12802208655808017,18474,0.4852766049583198,False,0.02254254014284009
event_seq,ret_20,Q1,0.026840371592233254,0.0200052659294366,0.12099190817945332,24894,0.5829517152727565,False,0.03404796529444117
event_seq,ret_20,Q2,-0.006154266102225678,-0.013277428371768,0.1448288917666414,19759,0.44222885773571535,False,0.03404796529444117
event_seq,ret_20,Q3,0.027893699192215494,0.0043636363636363,0.18436869887941687,19523,0.5128822414587922,False,0.03404796529444117
event_seq,ret_20,Q4,0.026337619491144763,0.0038975501113585,0.1774903114197371,23333,0.513993057043672,False,0.03404796529444117
event_seq,ret_20,Q5,0.019464439623566282,-0.0037128712871287,0.19250045546093222,17765,0.483872783563186,False,0.03404796529444117
high,hold_ret,Q1,0.013932573280909197,-0.013157894736842158,0.12626273406309121,21305,0.3764843933348979,True,0.014244062539645412
high,hold_ret,Q2,0.010848857998622544,-0.01552980550175497,0.13568641186447258,21262,0.37047314457717995,True,0.014244062539645412
high,hold_ret,Q3,0.008271379557528654,-0.017710309930423853,0.1223004654022133,21283,0.3622609594512052,True,0.014244062539645412
high,hold_ret,Q4,0.006459696960833521,-0.0203266787658803,0.1271550968243741,21285,0.3538172421893352,True,0.014244062539645412
high,hold_ret,Q5,-0.00031148925873621515,-0.02579365079365083,0.12856468303430454,21277,0.3304507214362927,True,0.014244062539645412
high,ret_5,Q1,0.00981430948611846,-0.002016129032258,0.08490245767943518,21293,0.46902737989010473,True,0.010182506423347816
high,ret_5,Q2,0.006369417083395764,-0.0022509912215142,0.08334726039361687,21298,0.47211005728237393,True,0.010182506423347816
high,ret_5,Q3,0.00457406521233382,-0.0030543677458766,0.08670426051830384,21305,0.4695611358835954,True,0.010182506423347816
high,ret_5,Q4,0.003570708085363043,-0.0048674959437533,0.09066894152689413,21259,0.4608871536760901,True,0.010182506423347816
high,ret_5,Q5,-0.0003681969372293552,-0.0072513812154696,0.09646179854645956,21285,0.4506929762743716,True,0.010182506423347816
high,ret_10,Q1,0.012862238891841921,0.0016313213703098,0.10934673009507397,21225,0.5012485276796231,True,0.009086768114463566
high,ret_10,Q2,0.009723615138124392,0.0011976047904191,0.11147666030535955,21223,0.5032276304009801,True,0.009086768114463566
high,ret_10,Q3,0.009268723457449864,0.0,0.115992888572036,21213,0.4993635977938057,True,0.009086768114463566
high,ret_10,Q4,0.007189141113171537,-0.00167084494223925,0.11727482153529636,21228,0.4885528547201809,True,0.009086768114463566
high,ret_10,Q5,0.0037754707773783565,-0.0069277911004529,0.1288249303698321,21201,0.4686571388142069,True,0.009086768114463566
high,ret_20,Q1,0.02883835468260491,0.0086021505376343,0.16107989020325347,21073,0.5323399610876477,True,0.021776801010643665
high,ret_20,Q2,0.02482368846311277,0.008285658243159251,0.17019956548503953,21052,0.5335360060801824,True,0.021776801010643665
high,ret_20,Q3,0.020601780291573443,0.00561673126420885,0.1547845502400827,21044,0.5204808971678389,True,0.021776801010643665
high,ret_20,Q4,0.01609853513883782,0.00054187611575675,0.1639897862100632,21056,0.5019946808510638,True,0.021776801010643665
high,ret_20,Q5,0.0070615536719612435,-0.0103042497408694,0.17157973748705,21049,0.4693334600218538,True,0.021776801010643665
low,hold_ret,Q1,0.013649060063198248,-0.01360544217687076,0.12705579824651184,21305,0.37451302511147616,True,0.013508272217276594
low,hold_ret,Q2,0.010905761251266523,-0.01564091626279076,0.13530008675156563,21274,0.3707812353107079,True,0.013508272217276594
low,hold_ret,Q3,0.0077920488152447434,-0.017764618800888247,0.12291053309693321,21289,0.3613603269294002,True,0.013508272217276594
low,hold_ret,Q4,0.006712998073194949,-0.020009760858955596,0.12617995247003458,21261,0.35449884765533135,True,0.013508272217276594
low,hold_ret,Q5,0.00014078784592165357,-0.025099986208798886,0.12860612668704122,21283,0.33233096837851805,True,0.013508272217276594
low,ret_5,Q1,0.00969373566708213,-0.002132196162047,0.08587726243998449,21296,0.4683039068369647,True,0.009663131466802873
low,ret_5,Q2,0.006526700693804777,-0.0024539877300613,0.0845503495166253,21299,0.47049157237428985,True,0.009663131466802873
low,ret_5,Q3,0.00434961587586567,-0.003205128205128,0.08660375332521252,21293,0.4685107781900155,True,0.009663131466802873
low,ret_5,Q4,0.0033570315516909988,-0.004710778440187149,0.08957760187603307,21280,0.4608552631578947,True,0.009663131466802873
low,ret_5,Q5,3.060420027925659e-05,-0.0065806726135287,0.09567956148181302,21272,0.45411808950733357,True,0.009663131466802873
low,ret_10,Q1,0.01252086578852668,0.0,0.11059947115806174,21223,0.49790321820666256,True,0.008134855939638173
low,ret_10,Q2,0.009970644183474115,0.0011376696797439998,0.11354403568735351,21230,0.5024493641073952,True,0.008134855939638173
low,ret_10,Q3,0.008822329281888919,0.0,0.11511052361178445,21208,0.49933987174651073,True,0.008134855939638173
low,ret_10,Q4,0.007121198463037481,-0.0015151515151514,0.11555231503949455,21217,0.48946599424989395,True,0.008134855939638173
